Team Name, Record, Goal Differential
Baltimore Blast, Tying Record, Negative
Chihuahua Savage, Winning Record, Super Positive
Dallas Sidekicks, Losing Record, Super Negative
Empire Strykers, Losing Record, Super Negative
Harrisburg Heat, Losing Record, Super Negative
Kansas City Comets, Winning Record, Positive
Milwaukee Wave, Winning Record, Positive
Monterrey Flash, Perfect Record, Super Positive
St. Louis Ambush, Losing Record, Negative
San Diego Sockers, Winning Record, Positive
Tacoma Stars, Winning Record, Positive
Texas Outlaws, Losing Record, Negative
Utica City FC, Winning Record, Positive
